"shop_name","product_name","shelf_price","image_url"
"Lidl","Favorina Kalėdinis namelis su šokoladinėmis figūrėlėmis","3.69","https://imgproxy-retcat.assets.schwarz/Lnklbs8Ibd4oXvVc3MpsxWIcgEulSkPHurq2-KL0xVM/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0ZFMzg0RkM2QjI4MTAxQjY0NzkwQzFGOD/YwRjMyQTY5MzEyRDkxMzFGRkNCNjFBNTk1QUZBOUY2RjkwODEzOTkucG5n.png"
"Lidl","Šokoladiniai saldainiai su pistacijų įdaru","8.49","https://imgproxy-retcat.assets.schwarz/Mq-EKMJAWEDcu4ER4ghcedpnErv-b7YAzczElVJr48k/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0FEOTAwOUVBMzY2RjcwQTNDNDMzNkFGND/VEQTYwRURCQTFCNDIzNTcwOUE3OTQ0MDc5NDk3MTI1NDZCOUZFMzkucG5n.png"
"Lidl","Saldainiai su riešutų skonio įdaru","8.49","https://imgproxy-retcat.assets.schwarz/uU_DVwuKlm7Ll0ukOU2ShXOFIcdYj7b8SuDK77a7tGo/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzkxODc5MjNBMEUyNDEyOTg4NDE1QjQ0NE/NCQUQyMUZCQ0FGN0JFQzVCQkE5Njk0QkNFQUREMEQxRkNBODQzRDUucG5n.png"
"Lidl","Saldainiai su pieninio šokolado įdaru","8.49","https://imgproxy-retcat.assets.schwarz/t1-jSguUz-d9LVpRX_E67cc-F9KMuxOBhmZkfQp2LBU/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0NGOENCOTMzOEM5MzU5MUJGN0E3MTYxOE/U5RjdFNUQ4RkVFQzg3RjI3MDVFMTQ3RUQxQjJEM0I3Njg4NTI4NzUucG5n.png"
"Lidl","Saldainiai „Zozole“","7.99","https://imgproxy-retcat.assets.schwarz/IbFFVjm7HStjf7rVFNNOWHwNfXXfHVr6XUIuSnXLWWQ/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzJGOUREODdGM0NFQUE5MzQwMDg2RUI2Nz/A4OEQ1MDI0Q0MwOTdBOTFGQkM0ODg4MDdERUVGRDJDNDhENjM5ODcucG5n.png"
"Lidl","Favorina Pliušinis žaisliukas su šokoladu","5.99","https://imgproxy-retcat.assets.schwarz/X7-RJXBP68omcqiq5fzo7aHxAG6CF18v4xyJ-kSlsR4/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzYwMzNDOUE2RTMyREJEOTY5QjVGMDhDOD/I4MkU2ODY4RUU2QUY3RDc1RUM0ODc4NTlBNTgxMDVGMkQ3M0VEMzkucG5n.png"
"Lidl","Favorina Šokoladiniai saldainiai","1.69","https://imgproxy-retcat.assets.schwarz/4kzCGtnFUZ269l9GxlnfQa5AVOAJZ2L5xOowiLiLgIk/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9COUNCNDI4QzFERDcwMUI1MzY3RTlDNTk/zOTYwMjI5NkJDMjZBNzdFRTA2NzlFQkZENzU4N0VDM0M2QkQ0NDFCLmpwZw.jpg"
"Lidl","Guboja","2.49","https://imgproxy-retcat.assets.schwarz/RByKwPR0Pdw4xxtbC2tzOba08zaDUye7JNVvjYGSiyA/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0NCQjQ3NjY4MEZDOEIwQkQwRjUwNkE1Rk/VDQUYyNTUxNEYwRERFNkQ5MzM5RjIwMjJEQ0QxODU4MkQyNTE0MjkucG5n.png"
"Lidl","Deluxe Vytinta iberiška kiauliena","3.99","https://imgproxy-retcat.assets.schwarz/soFQrhlD5nAp10iqP3oj-3G800bnnKoBqnewrwGk91I/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS81MTk1RDNFMDI5NzU4QzI0MUFFRTVBRUM/yQjg2QkFGNEYxMzlFQkY0OTNCRkE1NDFCODIwNEUwRUNGNDgyQkI2LmpwZw.jpg"
"Lidl","Deluxe Paštetas su ančių kepenėlėmis","3.29","https://imgproxy-retcat.assets.schwarz/j4JFxKVYx5V5bn46-Q_2FT-fHgiysecjD1Fz56htJ2E/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzI2RjQxNTdCNTE2RTFEQTU5NTdDMDZEND/AwQ0ZEQ0QyQTc3ODNCRUI4OTI0ODNEQjAwNEY4NjdGNTEwODVDMDUucG5n.png"
