shop_name,title,price,image_small
Maxima,"Sausainiai SELGA, sutirštinto pieno skonio, 180 g",1.15,https://cdn.barbora.lt/products/1fa5f270-5195-4c7a-9539-3d85db43d171_s.png
Maxima,"Imbieriniai sausainiai SELGA, 500 g",4.49,https://cdn.barbora.lt/products/83db57d1-186a-4826-b973-1f7946af7717_s.png
Maxima,"Gazuotas sulčių gėrimas SANPELLEGRINO, raud. apelsinų skonio, 330 ml",0.77,https://cdn.barbora.lt/products/a5d96cfd-a89f-40fe-876b-62a122b80ecf_s.png
Maxima,"Gazuotas gėrimas COCA COLA, 6 vnt., 1.98 l",3.38,https://cdn.barbora.lt/products/4c78bc41-9c99-4e51-b745-e9ed61d3c49b_s.png
Maxima,"Maži kūčiukai JDC, 200 g",1.69,https://cdn.barbora.lt/products/47bcf0b9-5b6c-4c9e-a9f4-ae602ba3ab82_s.png
Maxima,"Dantų siūlas JORDAN 3 IN 1 su laikikliu, 50 vnt.",2.99,https://cdn.barbora.lt/products/47388ea9-f29a-4cf1-a7b7-611e2e8897a4_s.png
Maxima,"Garuose ruošti avinžirniai BONDUELLE VAPEUR, 310 g",1.19,https://cdn.barbora.lt/products/8456ca7c-ef47-43ba-99b2-6d66b9124e3b_s.png
Maxima,"Gl. varškės sūrelis MURR, braškinės mačios sk., 30 % rieb., 40 g",0.65,https://cdn.barbora.lt/products/feab8af9-134a-44cf-8b6a-9e81ad591c00_s.png
Maxima,"Tepamasis varškės kremas VILKYŠKIŲ, 19 % rieb., 150 g",0.99,https://cdn.barbora.lt/products/9a3cadd7-e250-4ff9-9850-8ad6b35608f5_s.png
Maxima,"Maisto atliekų rūšiavimo šiukšlių maišai,25vnt., 25 vnt.",1.09,https://cdn.barbora.lt/products/f318d515-b50d-4acf-957e-425e403879b1_s.png
Maxima,"Sviestas su žolelėmis WELL DONE PREMIUM, 62 % rieb., 125 g",1.59,https://cdn.barbora.lt/products/0cfdb4d6-eefa-4b14-b885-d8b173a2adc5_s.png
Maxima,"Glaist. VILKYŠKIŲ varškės sūrelis su aguonomis, 25 % rieb., 40 g",0.59,https://cdn.barbora.lt/products/d2211f20-5e81-4093-8112-fdeedcef045f_s.png
Maxima,"Šaldytos bandelės WELL DONE su cinamonu, 350 g",2.99,https://cdn.barbora.lt/products/4820af9c-c249-440d-ac53-e6dbce6333ce_s.png
Maxima,"Virtas vištienos krūtinėlės kumpelis, 280 g, 280 g",2.09,https://cdn.barbora.lt/products/4345a72d-0e3d-422b-a246-d1e98520717f_s.png
Maxima,"Kepimo popierius UNIWELL, 12 m, 1 vnt.",1.49,https://cdn.barbora.lt/products/91fc7317-7e82-4b3a-8216-f2df8d3b7cf5_s.png
Maxima,"Glaistytas varškės sūrelis MURR, mačios skonio, 30 % rieb., 40 g",0.65,https://cdn.barbora.lt/products/7ad518a2-7f80-4687-a34b-03bf66ae3f77_s.png
Maxima,"Vištienos iešmeliai FIESTA su graikišku marinatu, 480 g",4.79,https://cdn.barbora.lt/products/c2d8c2b0-80b1-48b8-975f-502596e504f2_s.png
Maxima,"Malti džiūvėsiai GUDOBELĖ, 500 g",1.89,https://cdn.barbora.lt/products/ee03323a-d5c0-48b2-9980-80fefd80b4ac_s.png
Maxima,"Kepimo popierius UNIWELL, 10 m x 29 cm, 1 vnt.",1.3,https://cdn.barbora.lt/products/b41d2656-fc37-4761-8a20-b3e13ee455fc_s.png
Maxima,"Maltos višt. šlaun. mėsos,filė iešmeliai FIESTA kartvel. mar, 480 g",3.99,https://cdn.barbora.lt/products/aac4a28e-9b5a-4d16-b30a-9c67c41b277f_s.png
Maxima,"Kvapnūs užrišami šiukšlių maišai HOME EXPERT (40 l, 15 vnt.), 15 vnt.",1.99,https://cdn.barbora.lt/products/3f6593d5-e089-4583-8f87-038fbb051fa7_s.png
Maxima,"Šiukšlių maišai 60l/10vnt., HOME EXPERT, 30mk, Juodi",1.19,https://cdn.barbora.lt/products/a1db9397-6ecc-4fec-909e-214ee3c0eb38_s.png
Maxima,"RAMBYNO tepamasis sūrelis su kumpiu, 50 % rieb. s. m., 175 g",1.99,https://cdn.barbora.lt/products/7f39eec9-a1ce-4445-99d3-ca24bee15a0b_s.png
Maxima,"Gaz. apelsinų, kaktusų vais. sulčių gėrimas SAN PELLEGRINO, 330 ml",0.77,https://cdn.barbora.lt/products/d9e5ba98-4117-48c2-8a71-f437993d1198_s.png
Maxima,"Atšaldytos surimio lazdelės VIČI SNOW CRAB, 250 g",2.39,https://cdn.barbora.lt/products/e986af35-f76f-468d-9345-9f999b8b4752_s.png
