shop_name,product_name,shelf_price,image_url
Rimi,"Viščiukų vidinė filė be antib. RIMI, 400 g",2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_816943_PCE_LT"
Rimi,"BEATOS juoda duona su sėklomis, 300 g",1.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_905029_PCE_LT"
Rimi,"DVARO kefyras, 2,5 % rieb., 0,9 kg",1.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_918683_PCE_LT"
Rimi,"DVARO grietinė, 30 % rieb., 380 g",2.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_276565_PCE_LT"
Rimi,"Greipfrutai POMELO, 1 kl., 1 kg",1.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_211258_KGM_LT"
Rimi,"Tep. varšk. sūris PHILADELPHIA Orig., 200g",2.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_212051_PCE_LT"
Rimi,"Valg. ledai su mišk. uog. įd. RIMI, 120ml/72g",0.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_150/d_ecommerce:backend-fallback.png/MAT_808822_PCE_LT"
Rimi,"Šald. morkų kub. ir žirn. mišinys RIMI, 400 g",1.09,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_150/d_ecommerce:backend-fallback.png/MAT_811173_PCE_LT"
Rimi,"Pjaustyti pomidorai I LOVE ECO, 390 g",2.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_150/d_ecommerce:backend-fallback.png/MAT_807573_PCE_LT"
Rimi,"Cukrus PANEVĖŽIO PLIUS, 1 kg",1.19,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_148646_PCE_LT"
Rimi,"Šv.viščiuko broilerio peteliai be antib.,500g",1.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_995840_PCE_LT"
Rimi,"Sviestiniai rageliai LIETUVOS KEPĖJAS, 360 g",3.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_914276_PCE_LT"
Rimi,"Šiukšlių maišai PACLAN Premium 35l,15vnt",2.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_623265_PCE_LT"
Rimi,"Šald. daržovių mišinys sriubai RIMI, 400 g",0.65,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811587_PCE_LT"
Rimi,"Virtas kumpis SELECTION BY RIMI, 70 g",2.19,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_803265_PCE_LT"
