product_name,shelf_price,per_unit_price,image_url
"Saldūs kukurūzai RIMI, 340g/285g",1.39,4.88,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_801105_PCE_LT"
"Šald. morkų kub. ir žirn. mišinys RIMI, 400 g",1.09,2.72,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811173_PCE_LT"
"Lydytas sūrelis ROKIŠKIO GRAND 23 %, 175 g",1.99,11.37,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_917239_PCE_LT"
"Avinžirniai I LOVE ECO, 380 g / 230 g",1.35,5.87,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808102_PCE_LT"
"Žaliosios lapinės salotos RIMI, 1vnt",0.99,9.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_815948_PCE_LT"
"Traški 3 sūrių pica su įd. krašt. RIMI, 434 g",4.99,11.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808706_PCE_LT"
"Juod. alyvuogės RIMI be kaul., 345 g / 160 g",1.95,12.19,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_802899_PCE_LT"
"Vanilinis plombyras KAR KAR, 130 ml / 70 g",1.09,15.57,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_248808_PCE_LT"
"Pomidorų gabaliukai su baziliku RIMI, 400 g",1.65,4.12,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_807746_PCE_LT"
"Pomidorų gabaliukai RIMI SMART, 400 g",0.79,1.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811405_PCE_LT"
"Šaldytos avietės RIMI, 400 g",4.99,12.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811678_PCE_LT"
"VILKYŠKIŲ varšk. užtepėlė su žal., 18%., 150g",1.65,11.0,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_291496_PCE_LT"
"Juoda duona AGOTOS, 375 g",1.11,2.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_253014_PCE_LT"
"Šiukšlių maišai PACLAN Premium 35l,15vnt",2.45,0.16,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_623265_PCE_LT"
"Broilerių sparnų vid. dalys be antib., 500 g",2.35,4.7,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_971710_PCE_LT"
"Kokosų gėrimas SANTA MARIA ORIGINAL, 250ml",2.39,9.56,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_196376_PCE_LT"
"Grikių kruopos GALINTA, 800 g",2.89,3.61,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_133214_PCE_LT"
"Raud. bes. vynuog. RALLI, 1kl, 500g",3.49,6.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_297278_PCE_LT"
"Tortilijos SANTA MARIA ORIGINAL, 8 vnt, 320 g",3.39,10.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_162087_PCE_LT"
"Eko. UAT pienas be lakt. AUGA, 2,5% rieb, 1 l",1.59,1.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_4000472_PCE_LT"
"Valg. ledai su mišk. uog. įd. RIMI, 120ml/72g",0.39,5.42,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808822_PCE_LT"
"Varšk. grūdeliai su grietinėl. RIMI, 4%, 160g",0.79,4.94,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_802435_PCE_LT"
"Šal. krevetės be kiauto RIMI,MSC,250/300,180g",4.39,24.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_812388_PCE_LT"
"Kempinės MARINE 10 vnt 2,5x8x5cm",0.69,0.07,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_800750_PCE_LT"
"Jautienos antrekoto kepsnys RIMI, 200g",6.79,33.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_809825_PCE_LT"
"Avietės RIMI, 225g",4.79,21.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_988086_PCE_LT"
"Šald. daržovių mišinys sriubai RIMI, 400 g",0.65,1.62,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811587_PCE_LT"
"Sausainiai GAIDELIS KLASIKA, 160 g",0.75,4.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_196892_PCE_LT"
"Pjaustyti pomidorai I LOVE ECO, 390 g",2.29,5.87,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_807573_PCE_LT"
"Sūris BURRATA GRANAROLO, 125 g",1.99,15.92,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_4006728_PCE_LT"
"Klevų sir. sk. valg. ledai RIMI, 120 ml/ 73 g",0.39,5.34,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808827_PCE_LT"
"Sviestiniai rageliai LIETUVOS KEPĖJAS, 360 g",3.69,10.25,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_914276_PCE_LT"
"Marinuoti agurkėliai SPILVA, 670 g / 370 g",3.35,9.05,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_133379_PCE_LT"
"Šok. valg. ledai vaflin. ind. RIMI, 120ml/65g",0.39,6.0,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808813_PCE_LT"
"Kons. auks. kukur. BONDUELLE KIDS, 170g/140g",1.59,11.36,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_129719_PCE_LT"
"Karštai rūkyta kiaulienos nugarinė RIMI, 250g",2.45,9.8,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811377_PCE_LT"
"Tortilijos viso gr. SANTA MARIA, 8 vnt, 320 g",3.09,9.66,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_128672_PCE_LT"
"Pop.rankšluosčiai RIMI, 2 sluok., 400 lapelių",2.99,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_816078_PCE_LT"
"Juoda duona su saulėgrąžomis JORĖ, 280g",1.19,4.25,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_281509_PCE_LT"
"Sūris su baltuoju pelės. RIMI CAMEMBERT, 120g",1.75,14.58,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_810570_PCE_LT"
Pomidorų pasta KĖDAINIŲ KONSERVAI 250g,1.89,7.56,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_161465_PCE_LT"
"Kepamosios vištienos dešrelės HEAT&EAT,270g",2.19,8.11,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_977797_PCE_LT"
"Sl. bandelės su cinam. LIETUVOS KEPĖJAS, 320g",3.59,11.22,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_914287_PCE_LT"
